,Name,Class.Family,chr,start,end
180,AluSx1,SINE/Alu,chr22,11138223,11138522
181,AluJr,SINE/Alu,chr22,11139254,11139567
182,AluSx,SINE/Alu,chr22,11139866,11140120
183,AluSx,SINE/Alu,chr22,11141319,11141530
184,AluJr,SINE/Alu,chr22,11143461,11143658
185,AluSx,SINE/Alu,chr22,11143676,11143893
186,AluSx,SINE/Alu,chr22,11144294,11144390
187,AluSz,SINE/Alu,chr22,11144602,11144675
188,AluJr,SINE/Alu,chr22,11144799,11144941
189,AluSx,SINE/Alu,chr22,11144942,11145240
190,AluJr,SINE/Alu,chr22,11145241,11145378
191,AluSx1,SINE/Alu,chr22,11146880,11147180
192,AluSz6,SINE/Alu,chr22,11147866,11148166
193,AluSq2,SINE/Alu,chr22,11149366,11149677
194,AluSq2,SINE/Alu,chr22,11149897,11150204
195,AluSx1,SINE/Alu,chr22,11151036,11151325
196,AluSx3,SINE/Alu,chr22,11152526,11152821
197,AluSz,SINE/Alu,chr22,11156447,11156739
198,AluSz,SINE/Alu,chr22,11156897,11157159
199,AluY,SINE/Alu,chr22,11157953,11158244
200,AluJo,SINE/Alu,chr22,11159991,11160303
201,AluSz,SINE/Alu,chr22,11160549,11160856
202,AluYj4,SINE/Alu,chr22,11160860,11160921
203,AluJb,SINE/Alu,chr22,11254886,11255011
204,AluY,SINE/Alu,chr22,11255051,11255342
205,AluSp,SINE/Alu,chr22,11255401,11255686
206,AluJb,SINE/Alu,chr22,11255774,11255942
207,AluSc,SINE/Alu,chr22,11260434,11260741
208,AluSx1,SINE/Alu,chr22,11261541,11261712
209,AluSx1,SINE/Alu,chr22,11265412,11265699
210,AluY,SINE/Alu,chr22,11266809,11267103
211,AluSg4,SINE/Alu,chr22,11267916,11268224
212,AluSp,SINE/Alu,chr22,11268358,11268401
213,AluSz,SINE/Alu,chr22,11268507,11268800
214,AluJr,SINE/Alu,chr22,11269923,11270030
215,AluSp,SINE/Alu,chr22,11270031,11270341
216,AluJr,SINE/Alu,chr22,11270342,11270496
217,AluJo,SINE/Alu,chr22,11270573,11270629
218,AluJb,SINE/Alu,chr22,11270905,11271000
219,AluSz,SINE/Alu,chr22,11271034,11271313
220,AluYk3,SINE/Alu,chr22,11273261,11273568
221,AluJo,SINE/Alu,chr22,11273569,11273733
222,AluSq,SINE/Alu,chr22,11275918,11276235
223,AluJo,SINE/Alu,chr22,11286003,11286117
224,AluSg7,SINE/Alu,chr22,11295730,11296014
225,AluJr,SINE/Alu,chr22,11296641,11296742
226,AluSz6,SINE/Alu,chr22,11300158,11300456
227,AluJb,SINE/Alu,chr22,11300490,11300558
228,AluSc8,SINE/Alu,chr22,11301567,11301878
229,AluSp,SINE/Alu,chr22,11305593,11305882
230,AluSx1,SINE/Alu,chr22,11308893,11309192
231,AluSc8,SINE/Alu,chr22,11309420,11309743
232,AluSp,SINE/Alu,chr22,11314707,11315002
233,AluSx1,SINE/Alu,chr22,11320682,11320957
234,AluSz,SINE/Alu,chr22,11326979,11327263
235,AluSg7,SINE/Alu,chr22,11328858,11329132
236,AluSg7,SINE/Alu,chr22,11330435,11330731
237,AluSx1,SINE/Alu,chr22,11339223,11339531
238,AluYm1,SINE/Alu,chr22,11349831,11350126
239,AluSp,SINE/Alu,chr22,11433301,11433593
240,AluSq,SINE/Alu,chr22,11436810,11437121
241,AluJb,SINE/Alu,chr22,11440737,11441039
242,AluJb,SINE/Alu,chr22,11441151,11441441
243,AluSx,SINE/Alu,chr22,11444396,11444701
244,AluSx1,SINE/Alu,chr22,11444768,11445090
245,AluSx1,SINE/Alu,chr22,11446561,11446873
246,AluSx3,SINE/Alu,chr22,11447035,11447328
247,AluY,SINE/Alu,chr22,11447333,11447627
248,AluSq,SINE/Alu,chr22,11447707,11447981
249,AluY,SINE/Alu,chr22,11448110,11448397
250,AluJb,SINE/Alu,chr22,11448683,11448951
251,AluSx3,SINE/Alu,chr22,11449546,11449835
252,AluSp,SINE/Alu,chr22,11450693,11451000
253,AluJo,SINE/Alu,chr22,11474307,11474493
254,AluJr4,SINE/Alu,chr22,11475662,11475915
255,AluJr,SINE/Alu,chr22,11475954,11476113
256,AluJb,SINE/Alu,chr22,11480859,11480995
257,AluJb,SINE/Alu,chr22,11481167,11481282
258,AluSc8,SINE/Alu,chr22,11481548,11481838
259,AluY,SINE/Alu,chr22,11481912,11482217
260,AluSg7,SINE/Alu,chr22,11482275,11482574
261,AluY,SINE/Alu,chr22,11482829,11483120
262,FLAM_C,SINE/Alu,chr22,11484926,11485049
263,AluSx1,SINE/Alu,chr22,11485091,11485283
264,AluSx,SINE/Alu,chr22,11485284,11485578
265,AluSx1,SINE/Alu,chr22,11485579,11485716
266,AluSp,SINE/Alu,chr22,11487013,11487311
267,AluJb,SINE/Alu,chr22,11490026,11490180
268,AluJb,SINE/Alu,chr22,11491933,11492067
269,AluJb,SINE/Alu,chr22,11493060,11493191
270,AluSz,SINE/Alu,chr22,11493618,11493893
271,AluSc,SINE/Alu,chr22,11494164,11494476
272,AluSx,SINE/Alu,chr22,11494861,11495168
273,AluSz6,SINE/Alu,chr22,11495600,11495732
274,AluSq2,SINE/Alu,chr22,11496453,11496740
275,AluJb,SINE/Alu,chr22,11497111,11497337
276,AluSg7,SINE/Alu,chr22,11548994,11549300
277,AluSg7,SINE/Alu,chr22,11551574,11551860
278,AluSz,SINE/Alu,chr22,11553426,11553707
279,AluSx1,SINE/Alu,chr22,11559810,11560085
280,AluSp,SINE/Alu,chr22,11565758,11566039
281,AluSc8,SINE/Alu,chr22,11572790,11573115
282,AluSx1,SINE/Alu,chr22,11573343,11573639
283,AluSp,SINE/Alu,chr22,11576709,11577001
284,AluSc8,SINE/Alu,chr22,11580719,11581022
285,AluJb,SINE/Alu,chr22,11582464,11582765
286,AluSz6,SINE/Alu,chr22,11582797,11583098
287,AluJr,SINE/Alu,chr22,11586516,11586618
288,AluSg7,SINE/Alu,chr22,11587240,11587528
289,AluYa5,SINE/Alu,chr22,11588153,11588325
290,AluSz6,SINE/Alu,chr22,11597369,11597483
291,AluSq,SINE/Alu,chr22,11607273,11607582
292,AluJo,SINE/Alu,chr22,11609782,11609947
293,AluYk3,SINE/Alu,chr22,11609950,11610243
294,AluSz6,SINE/Alu,chr22,11612560,11612839
295,AluJb,SINE/Alu,chr22,11612855,11612981
296,AluJo,SINE/Alu,chr22,11613153,11613207
297,AluJr,SINE/Alu,chr22,11613286,11613440
298,AluSp,SINE/Alu,chr22,11613441,11613750
299,AluJr,SINE/Alu,chr22,11613751,11613855
300,AluSz,SINE/Alu,chr22,11614900,11615193
301,AluSp,SINE/Alu,chr22,11615299,11615340
302,AluSg4,SINE/Alu,chr22,11615459,11615782
303,AluYk3,SINE/Alu,chr22,11616593,11616897
304,AluSx1,SINE/Alu,chr22,11617882,11618189
305,AluSx,SINE/Alu,chr22,11621835,11622010
306,AluSc,SINE/Alu,chr22,11622861,11623145
307,AluJb,SINE/Alu,chr22,11626425,11626590
308,AluSp,SINE/Alu,chr22,11626697,11626994
309,AluY,SINE/Alu,chr22,11627027,11627336
310,AluJb,SINE/Alu,chr22,11627376,11627501
311,AluSx3,SINE/Alu,chr22,11681411,11681710
312,AluSp,SINE/Alu,chr22,11682569,11682874
313,AluSq2,SINE/Alu,chr22,11708849,11709024
314,AluJb,SINE/Alu,chr22,11714971,11715072
315,AluSx1,SINE/Alu,chr22,11715580,11715887
316,AluSx,SINE/Alu,chr22,11716037,11716323
317,AluJo,SINE/Alu,chr22,11717160,11717453
318,AluJb,SINE/Alu,chr22,11717532,11717862
319,AluJo,SINE/Alu,chr22,11718376,11718676
320,FLAM_C,SINE/Alu,chr22,11718690,11718815
321,AluJo,SINE/Alu,chr22,11719200,11719492
322,FLAM_C,SINE/Alu,chr22,11720112,11720241
323,AluJr,SINE/Alu,chr22,11720306,11720553
324,AluSx4,SINE/Alu,chr22,11721017,11721315
325,AluJr,SINE/Alu,chr22,11721620,11721919
326,AluSx,SINE/Alu,chr22,11721935,11722237
327,AluJo,SINE/Alu,chr22,11722321,11722624
328,AluJo,SINE/Alu,chr22,11723182,11723289
329,AluJb,SINE/Alu,chr22,11723405,11723701
330,AluSx,SINE/Alu,chr22,11724416,11724629
331,AluY,SINE/Alu,chr22,11777710,11778014
332,AluSc,SINE/Alu,chr22,11782417,11782690
333,AluYf1,SINE/Alu,chr22,11793780,11793999
334,AluSp,SINE/Alu,chr22,11794116,11794416
335,AluSz,SINE/Alu,chr22,11795158,11795445
336,AluSz6,SINE/Alu,chr22,11795493,11795791
337,AluJb,SINE/Alu,chr22,11796029,11796345
338,AluJr,SINE/Alu,chr22,11796825,11797097
339,AluSq2,SINE/Alu,chr22,11797186,11797474
340,AluJb,SINE/Alu,chr22,11798656,11798965
341,AluSx,SINE/Alu,chr22,11799074,11799369
342,AluJb,SINE/Alu,chr22,11799791,11800083
343,AluJb,SINE/Alu,chr22,11808493,11808785
344,AluY,SINE/Alu,chr22,11809214,11809473
345,AluSx,SINE/Alu,chr22,11810842,11811132
346,AluY,SINE/Alu,chr22,11811559,11811863
347,AluSq2,SINE/Alu,chr22,11826969,11827143
348,AluJb,SINE/Alu,chr22,11833075,11833176
349,AluSx1,SINE/Alu,chr22,11833684,11833989
350,AluSx,SINE/Alu,chr22,11834145,11834437
351,AluJo,SINE/Alu,chr22,11835273,11835563
352,AluJb,SINE/Alu,chr22,11835642,11835968
353,AluJo,SINE/Alu,chr22,11836481,11836781
354,FLAM_C,SINE/Alu,chr22,11836795,11836920
355,AluJo,SINE/Alu,chr22,11837305,11837594
356,FLAM_C,SINE/Alu,chr22,11838215,11838344
357,AluJr,SINE/Alu,chr22,11838409,11838647
358,AluSx4,SINE/Alu,chr22,11839112,11839412
359,AluJr,SINE/Alu,chr22,11839716,11840015
360,AluSx,SINE/Alu,chr22,11840031,11840338
361,AluJo,SINE/Alu,chr22,11840417,11840722
362,AluJo,SINE/Alu,chr22,11841279,11841393
363,AluJb,SINE/Alu,chr22,11841502,11841793
364,AluSz,SINE/Alu,chr22,11842502,11842782
365,AluSz,SINE/Alu,chr22,11844117,11844409
366,AluSp,SINE/Alu,chr22,11846070,11846381
367,AluY,SINE/Alu,chr22,11857069,11857366
368,AluJb,SINE/Alu,chr22,11860526,11860603
369,AluSq2,SINE/Alu,chr22,11864023,11864338
370,AluSx1,SINE/Alu,chr22,11864405,11864698
371,FLAM_A,SINE/Alu,chr22,11866923,11867044
372,AluJo,SINE/Alu,chr22,11870471,11870571
373,AluSx,SINE/Alu,chr22,11870842,11871153
374,AluJb,SINE/Alu,chr22,11871340,11871622
375,AluJb,SINE/Alu,chr22,11873157,11873438
376,AluJo,SINE/Alu,chr22,11873473,11873768
377,AluY,SINE/Alu,chr22,11873964,11874257
378,AluSx,SINE/Alu,chr22,11877779,11878081
379,AluSp,SINE/Alu,chr22,11879855,11880145
380,AluSz,SINE/Alu,chr22,11880613,11880913
381,AluJr,SINE/Alu,chr22,11881457,11881750
382,AluSq2,SINE/Alu,chr22,11886591,11886905
383,AluJb,SINE/Alu,chr22,11894169,11894432
384,AluSx,SINE/Alu,chr22,11894852,11895162
385,AluSx3,SINE/Alu,chr22,11895514,11895607
386,AluJr,SINE/Alu,chr22,11900617,11900862
387,AluJr,SINE/Alu,chr22,11902115,11902407
388,AluSx4,SINE/Alu,chr22,11905931,11906229
389,AluSg7,SINE/Alu,chr22,11906259,11906558
390,AluSx1,SINE/Alu,chr22,11906747,11907041
391,AluSc,SINE/Alu,chr22,11908348,11908644
392,AluSp,SINE/Alu,chr22,11941525,11941834
393,AluSg7,SINE/Alu,chr22,11942693,11942980
394,AluJb,SINE/Alu,chr22,11943574,11943847
395,AluY,SINE/Alu,chr22,11944131,11944428
396,AluSq,SINE/Alu,chr22,11944553,11944826
397,AluY,SINE/Alu,chr22,11944900,11945195
398,AluSx,SINE/Alu,chr22,11945200,11945493
399,AluSx1,SINE/Alu,chr22,11945656,11945974
400,AluSx1,SINE/Alu,chr22,11947450,11947772
401,AluSx1,SINE/Alu,chr22,11947859,11948168
402,AluJb,SINE/Alu,chr22,11951086,11951377
403,AluJb,SINE/Alu,chr22,11951487,11951794
404,AluSp,SINE/Alu,chr22,11955471,11955779
405,AluSp,SINE/Alu,chr22,11958993,11959288
406,AluY,SINE/Alu,chr22,11965873,11966159
407,AluSz,SINE/Alu,chr22,11966468,11966756
408,AluY,SINE/Alu,chr22,11969410,11969700
409,AluSg,SINE/Alu,chr22,11974541,11974840
410,AluY,SINE/Alu,chr22,11976762,11977067
411,AluY,SINE/Alu,chr22,11977488,11977553
412,AluSz6,SINE/Alu,chr22,12040913,12041225
413,AluSz,SINE/Alu,chr22,12041372,12041642
414,AluSz,SINE/Alu,chr22,12046617,12046927
415,AluYh3,SINE/Alu,chr22,12053622,12053790
416,AluY,SINE/Alu,chr22,12061164,12061469
417,AluSc,SINE/Alu,chr22,12065871,12066144
418,AluYf1,SINE/Alu,chr22,12077225,12077444
419,AluSp,SINE/Alu,chr22,12077561,12077862
420,AluSz,SINE/Alu,chr22,12078619,12078906
421,AluSz6,SINE/Alu,chr22,12078926,12079207
422,AluJb,SINE/Alu,chr22,12079438,12079756
423,AluJr,SINE/Alu,chr22,12080238,12080511
424,AluSq2,SINE/Alu,chr22,12080600,12080888
425,AluJb,SINE/Alu,chr22,12082054,12082363
426,AluSx,SINE/Alu,chr22,12082468,12082764
427,AluJb,SINE/Alu,chr22,12083185,12083479
428,AluJb,SINE/Alu,chr22,12091936,12092228
429,AluY,SINE/Alu,chr22,12092656,12092914
430,AluSx,SINE/Alu,chr22,12094323,12094628
431,AluY,SINE/Alu,chr22,12095058,12095374
432,AluSg,SINE/Alu,chr22,12097284,12097582
433,AluY,SINE/Alu,chr22,12102431,12102723
434,AluSz,SINE/Alu,chr22,12104427,12104723
435,AluY,SINE/Alu,chr22,12105037,12105335
436,AluSp,SINE/Alu,chr22,12112065,12112361
437,AluSq,SINE/Alu,chr22,12115577,12115885
438,AluJb,SINE/Alu,chr22,12119567,12119870
439,AluJb,SINE/Alu,chr22,12119982,12120271
440,AluSx,SINE/Alu,chr22,12123212,12123512
441,AluSx1,SINE/Alu,chr22,12123580,12123903
442,AluSx1,SINE/Alu,chr22,12125248,12125564
443,AluSx,SINE/Alu,chr22,12125723,12126016
444,AluY,SINE/Alu,chr22,12126021,12126323
445,AluSx,SINE/Alu,chr22,12126435,12126656
446,AluSx1,SINE/Alu,chr22,12127655,12127948
447,AluSq2,SINE/Alu,chr22,12128015,12128327
448,AluJb,SINE/Alu,chr22,12131749,12131826
449,AluY,SINE/Alu,chr22,12134989,12135286
450,AluSp,SINE/Alu,chr22,12145971,12146278
451,AluSz,SINE/Alu,chr22,12147939,12148232
452,AluSz,SINE/Alu,chr22,12149567,12149847
453,AluJb,SINE/Alu,chr22,12150555,12150846
454,FLAM_C,SINE/Alu,chr22,12150939,12151069
455,AluJo,SINE/Alu,chr22,12151626,12151931
456,AluSx,SINE/Alu,chr22,12152015,12152317
457,AluJr,SINE/Alu,chr22,12152333,12152631
458,AluSg,SINE/Alu,chr22,12152935,12153237
459,AluJr,SINE/Alu,chr22,12153702,12153938
460,FLAM_C,SINE/Alu,chr22,12154003,12154132
461,AluJo,SINE/Alu,chr22,12154753,12155041
462,FLAM_C,SINE/Alu,chr22,12155426,12155551
463,AluJo,SINE/Alu,chr22,12155565,12155866
464,AluJb,SINE/Alu,chr22,12156379,12156707
465,AluJo,SINE/Alu,chr22,12156786,12157076
466,AluSx,SINE/Alu,chr22,12157912,12158204
467,AluSx1,SINE/Alu,chr22,12158360,12158669
468,AluJb,SINE/Alu,chr22,12159177,12159278
469,AluSq2,SINE/Alu,chr22,12165238,12165409
470,AluY,SINE/Alu,chr22,12180229,12180534
471,AluSx,SINE/Alu,chr22,12180962,12181254
472,AluY,SINE/Alu,chr22,12182624,12182883
473,AluJb,SINE/Alu,chr22,12183314,12183606
474,AluJb,SINE/Alu,chr22,12192015,12192313
475,AluSx,SINE/Alu,chr22,12192728,12193022
476,AluJb,SINE/Alu,chr22,12193131,12193440
477,AluSq2,SINE/Alu,chr22,12194612,12194900
478,AluJr,SINE/Alu,chr22,12194989,12195262
479,AluJb,SINE/Alu,chr22,12195744,12196060
480,AluSz6,SINE/Alu,chr22,12196298,12196597
481,AluSz,SINE/Alu,chr22,12196828,12197115
482,AluSp,SINE/Alu,chr22,12197858,12198158
483,AluYf1,SINE/Alu,chr22,12198275,12198494
484,AluSc,SINE/Alu,chr22,12209498,12209812
485,AluY,SINE/Alu,chr22,12214210,12214515
486,AluYh3,SINE/Alu,chr22,12221884,12222053
487,AluJr,SINE/Alu,chr22,12280798,12280922
488,AluJr,SINE/Alu,chr22,12286175,12286474
489,AluJb,SINE/Alu,chr22,12286543,12286830
490,AluSx,SINE/Alu,chr22,12296654,12296956
491,AluSc8,SINE/Alu,chr22,12299309,12299606
492,AluJo,SINE/Alu,chr22,12301843,12301953
493,AluJo,SINE/Alu,chr22,12306161,12306285
494,AluSx,SINE/Alu,chr22,12313747,12313993
495,AluSz6,SINE/Alu,chr22,12323837,12324037
496,AluSc5,SINE/Alu,chr22,12324817,12325098
497,AluYh3,SINE/Alu,chr22,12325983,12326171
498,AluSx1,SINE/Alu,chr22,12327487,12327690
499,AluSx1,SINE/Alu,chr22,12537083,12537286
500,AluYh3,SINE/Alu,chr22,12538602,12538790
501,AluSc5,SINE/Alu,chr22,12539675,12539956
502,AluSz6,SINE/Alu,chr22,12540733,12540933
503,AluSx,SINE/Alu,chr22,12550778,12551025
504,AluJo,SINE/Alu,chr22,12558505,12558629
505,AluJo,SINE/Alu,chr22,12562837,12562947
506,AluSc8,SINE/Alu,chr22,12565184,12565481
507,AluSx,SINE/Alu,chr22,12567828,12568138
508,AluJb,SINE/Alu,chr22,12577946,12578233
509,AluJr,SINE/Alu,chr22,12578302,12578601
510,AluJr,SINE/Alu,chr22,12583857,12583981
511,AluJr,SINE/Alu,chr22,12591116,12591405
512,AluY,SINE/Alu,chr22,12595815,12596058
